time,count,relation,value,units,text_value,comments
AUC Inf,3,<=,,,infinity,
0-8 h,3,<=,8,hr,,
AUC (12 to 24 hrs),3,0,,hr,12 - 24,
AUC (1 to 8 hrs),3,0,,hr,1 - 8,
0.083 to 144 hrs,3,0,,hr,0.083 - 144,
0.5 to 288 hrs,2,0,,hr,0.5 - 288,
during 5 mins to 12 hrs,2,0,,hr,0.083 - 12,manually converted in hours
0.25 to 12 hrs,2,0,,hr,0.25 - 12,
from zero time to infinity,2,<=,,,infinity,
after 180 mins,2,<=,3,hr,,
over 12 hrs,2,<=,12,hr,,
0.5 to 10 hrs,2,0,,hr,0.5 - 10,
0-6hrs,2,<=,6,hr,,
0 to 24 h,2,<=,24,hr,,
over 8 hrs,2,<=,8,hr,,
AUC (0-24),2,<=,24,hr,,
AUC (o to 24 hrs),2,<=,24,hr,,
0 to 20 min,2,<=,0.333333333,hr,,
0-480 mins,2,<=,8,hr,,
0 to 300 mins,2,<=,5,hr,,
up to 240 mins,2,<=,4,hr,,
AUC (8 hrs),2,<=,8,hr,,
AUC (0 to8 hrs),2,<=,8,hr,,
0.5 to 72 hrs,2,0,,hr,0.5 - 72,
up to 90 mins,2,<=,1.5,hr,,
up to 5.5 hrs,2,<=,5.5,hr,,
0.25 to 48 hrs,2,0,,hr,0.25 - 48,
after 15 mins to 24 hrs,2,0,,hr,0.25 - 24,
after 5 mins to 4 hrs,2,0,,hr,0.083 - 4,
0-120 hrs,2,<=,120,hr,,
after 120 mins,2,<=,2,hr,,
0-6hr,2,<=,6,hr,,
after 5 mins to 6 hrs,2,0,,hr,0.083 - 6,
0 to 6.4 hrs,2,<=,6.4,hr,,
0.033 to 24 hrs,2,0,,hr,0.033 - 24,
0.4 hr ,2,<=,0.4,hr,,
0 to 60 days,2,<=,1440,hr,,
AUC (0 to 22 hrs),2,<=,22,hr,,
after 8 h,2,<=,8,hr,,
0 to 63 days,2,<=,1512,hr,,
after 0.5 hrs,2,<=,0.5,hr,,
0.083 to 36 hrs,2,0,,hr,0.083 - 36,
0-8h,2,<=,8,hr,,
upto 48 hrs,1,<=,48,hr,,
after 192 hrs,1,<=,192,hr,,
0.5 to 1 hr,1,0,,hr,0.5 - 1,
AUC (0 to 43 hrs),1,<=,43,hr,,
after 1 hr to 24 hrs,1,0,,hr,1 - 24,
AUC (4 hrs),1,<=,4,hr,,
0 to 12.5 hrs,1,<=,12.5,hr,,
after 20 mins to 24 hrs,1,0,,hr,0.33 - 24,
0-5 mins,1,<=,0.083333333,hr,,
after 20 mins,1,<=,0.333333333,hr,,
after 30 mins to 8 hrs,1,0,,hr,0.5 - 8,
AUC (12 to24 hrs),1,0,,hr,12 - 24,
0.5 to 2 hrs,1,0,,hr,0.5 - 2,
up to 2 hrs,1,<=,2,hr,,
AUC (0 to 336 hrs),1,<=,336,hr,,
at 8 hrs,1,,,,,ignore
2 hrs ,1,,,,,ignore
after 84 hrs,1,<=,84,hr,,
0-24 ,1,<=,24,hr,,
0-2 mins,1,<=,0.033333333,hr,,
AUC(0 to 24hrs),1,<=,24,hr,,
0-96 ,1,<=,96,hr,,
from zero time to time of last detectable concentration,1,0,,,0 - last,
0-15 mins,1,<=,0.25,hr,,
after 96 hrs,1,<=,96,hr,,
over 15 mins to 240 mins,1,0,,hr,0.25 - 4,manually converted in hours
AUC (0 to 6 h),1,<=,6,hr,,
AUC (0 to 6hrs),1,<=,6,hr,,
0 to 24 hr,1,<=,24,hr,,
over 27 mins,1,,,,,ignore
AUC (0 to 10),1,<=,10,hr,,
0-120 mins,1,<=,2,hr,,
over 60 mins,1,<=,1,hr,,
up to 1 hr,1,<=,1,hr,,
64 hrs ,1,,,,,ignore
